CASEID,SNRLGSVC,SNRLGIMP,SNRLDCSN,SNRLFRND
10591,52+,Strongly Agree,Strongly Agree,Strongly Agree
10592,52+,Agree,Agree,Disagree
10593,99,99,99,99
10594,99,99,99,99
10595,6-24,Strongly Agree,Strongly Agree,Agree
10596,99,99,99,99
10597,99,99,99,99
10598,99,99,99,99
10599,0,Agree,Agree,Disagree
10600,3-5,Agree,Disagree,Strongly Disagree
10601,6-24,Agree,Agree,Disagree
10602,3-5,Strongly Agree,Agree,Disagree
10603,99,99,99,99
10604,99,99,99,99
10605,99,99,99,99
10606,25-52,Agree,Agree,Agree
10607,0,99,99,99
10608,25-52,Strongly Agree,Strongly Agree,Disagree
10609,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10610,99,99,99,99
10611,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10612,0,Strongly Agree,Strongly Agree,Strongly Disagree
10613,99,99,99,99
10614,6-24,Strongly Disagree,Agree,Disagree
10615,99,99,99,99
10616,99,99,99,99
10617,99,99,99,99
10618,0,Strongly Agree,Strongly Agree,Strongly Agree
10619,99,99,99,99
10620,99,99,99,99
10621,99,99,99,99
10622,52+,Strongly Agree,Strongly Agree,Disagree
10623,1-2,Agree,Agree,Disagree
10624,52+,Strongly Agree,Strongly Agree,Agree
10625,25-52,Strongly Agree,Strongly Agree,Agree
10626,0,Strongly Agree,Strongly Agree,Strongly Disagree
10627,99,99,99,99
10628,3-5,Strongly Agree,Strongly Agree,Strongly Disagree
10629,99,99,99,99
10630,6-24,Strongly Agree,Strongly Agree,Disagree
10631,99,99,99,99
10632,0,Disagree,Disagree,Disagree
10633,0,Agree,Agree,Agree
10634,52+,Strongly Agree,Strongly Agree,Agree
10635,25-52,Strongly Agree,Strongly Agree,Agree
10636,99,99,99,99
10637,6-24,Strongly Agree,Strongly Agree,Disagree
10638,0,Agree,Agree,Disagree
10639,99,99,99,99
10640,6-24,Strongly Agree,Strongly Agree,Strongly Agree
10641,25-52,Strongly Agree,Agree,Agree
10642,99,99,99,99
10643,0,Strongly Agree,Strongly Agree,Disagree
10644,99,99,99,99
10645,99,99,99,99
10646,6-24,Agree,Agree,Agree
10647,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10648,25-52,Strongly Disagree,Strongly Disagree,Agree
10649,6-24,Agree,Agree,Disagree
10650,52+,Strongly Agree,Strongly Agree,Disagree
10651,6-24,Strongly Agree,Agree,Agree
10652,99,99,99,99
10653,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10654,1-2,Strongly Disagree,Strongly Disagree,Agree
10655,0,Strongly Agree,Strongly Agree,Strongly Disagree
10656,0,Strongly Agree,Strongly Agree,Strongly Disagree
10657,6-24,Agree,Agree,Disagree
10658,3-5,Strongly Agree,Strongly Agree,Agree
10659,25-52,Agree,Agree,Agree
10660,52+,Strongly Agree,Strongly Agree,Agree
10661,52+,Strongly Agree,Strongly Agree,Agree
10662,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10663,25-52,Strongly Agree,Agree,Agree
10664,25-52,Strongly Agree,Strongly Agree,Disagree
10665,25-52,Strongly Agree,Strongly Agree,Disagree
10666,1-2,Strongly Agree,Strongly Agree,Strongly Disagree
10667,52+,Strongly Agree,Agree,Disagree
10668,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10669,6-24,Strongly Agree,Strongly Agree,Strongly Disagree
10670,1-2,Agree,Disagree,Disagree
10671,3-5,Disagree,Disagree,Disagree
10672,99,99,99,99
10673,99,99,99,99
10674,99,99,99,99
10675,0,Agree,Agree,Disagree
10676,3-5,Agree,Agree,Disagree
10677,25-52,Agree,Disagree,Strongly Disagree
10678,0,Disagree,Strongly Disagree,Strongly Disagree
10679,1-2,Strongly Agree,Strongly Agree,Strongly Agree
10680,99,99,99,99
10681,0,Agree,Agree,Disagree
10682,0,Agree,Agree,Strongly Agree
10683,99,99,99,99
10684,3-5,Strongly Disagree,Strongly Disagree,Strongly Disagree
10685,99,99,99,99
10686,99,99,99,99
10687,52+,Strongly Agree,Strongly Agree,Disagree
10688,52+,Strongly Disagree,Strongly Agree,Disagree
10689,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10690,0,99,99,Agree
10691,6-24,Agree,Agree,Disagree
10692,99,99,99,99
10693,52+,Strongly Agree,Strongly Agree,Agree
10694,0,Agree,Agree,Disagree
10695,0,Disagree,Disagree,Disagree
10696,0,Agree,Agree,Disagree
10697,0,Strongly Agree,Strongly Agree,Disagree
10698,99,99,99,99
10699,6-24,Strongly Agree,Strongly Agree,Agree
10700,6-24,Strongly Agree,Agree,Disagree
10701,1-2,Strongly Disagree,Strongly Disagree,Strongly Disagree
10702,3-5,Agree,Agree,Disagree
10703,99,99,99,99
10704,52+,Agree,Agree,Disagree
10705,99,99,99,99
10706,52+,Agree,Agree,Disagree
10707,99,99,99,99
10708,0,Strongly Agree,Disagree,Disagree
10709,6-24,Strongly Agree,Strongly Agree,Strongly Agree
10710,3-5,Agree,Agree,Agree
10711,25-52,Agree,Agree,Disagree
10712,99,99,99,99
10713,99,99,99,99
10714,99,99,99,99
10715,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10716,99,99,99,99
10717,99,99,99,99
10718,6-24,Strongly Agree,Strongly Agree,Strongly Agree
10719,99,99,99,99
10720,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10721,99,99,99,99
10722,52+,Strongly Agree,Strongly Agree,Strongly Agree
10723,25-52,Strongly Agree,Strongly Agree,Agree
10724,0,Agree,Disagree,Disagree
10725,0,Disagree,Disagree,Strongly Disagree
10726,1-2,Agree,Agree,Strongly Disagree
10727,52+,Agree,Agree,Disagree
10728,1-2,Agree,Agree,Strongly Disagree
10729,99,99,99,99
10730,99,99,99,99
10731,99,99,99,99
10732,0,Agree,Strongly Agree,Agree
10733,3-5,Strongly Agree,Agree,Agree
10734,99,99,99,99
10735,0,Disagree,Disagree,Disagree
10736,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10737,6-24,Strongly Agree,Strongly Agree,Agree
10738,3-5,Strongly Agree,Agree,Strongly Disagree
10739,6-24,Strongly Agree,Strongly Agree,Disagree
10740,3-5,Strongly Agree,Agree,Disagree
10741,99,99,99,99
10742,0,Disagree,Strongly Disagree,Strongly Disagree
10743,0,Agree,Disagree,Disagree
10744,1-2,99,99,99
10745,1-2,Strongly Agree,Agree,Disagree
10746,25-52,Agree,Agree,Disagree
10747,99,99,99,99
10748,0,Disagree,Disagree,Disagree
10749,3-5,Strongly Agree,Strongly Agree,Disagree
10750,99,99,99,99
10751,1-2,Agree,Agree,Disagree
10752,99,99,99,99
10753,52+,Strongly Agree,Agree,Disagree
10754,0,Agree,Disagree,Disagree
10755,99,99,99,99
10756,25-52,Agree,Agree,Disagree
10757,6-24,Agree,Agree,Agree
10758,25-52,Strongly Agree,Strongly Agree,Strongly Agree
10759,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10760,52+,Strongly Agree,Strongly Agree,Agree
10761,99,99,99,99
10762,0,Strongly Agree,Agree,Agree
10763,0,Strongly Disagree,Strongly Disagree,Disagree
10764,0,Strongly Disagree,Agree,Strongly Disagree
10765,25-52,Strongly Agree,Strongly Agree,Agree
10766,3-5,Agree,Agree,Disagree
10767,0,Agree,Agree,Agree
10768,0,Disagree,Disagree,Disagree
10769,99,99,99,99
10770,0,Disagree,Disagree,Disagree
10771,1-2,Disagree,Disagree,Disagree
10772,6-24,Strongly Agree,Strongly Agree,Disagree
10773,99,99,99,99
10774,99,99,99,99
10775,25-52,Agree,Agree,Disagree
10776,6-24,Strongly Agree,Strongly Agree,Agree
10777,99,99,99,99
10778,99,99,99,99
10779,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10780,99,99,99,99
10781,6-24,Agree,Agree,Disagree
10782,99,99,99,99
10783,0,Agree,Agree,Strongly Disagree
10784,99,99,99,99
10785,99,99,99,99
10786,99,99,99,99
10787,0,Strongly Agree,Strongly Disagree,Disagree
10788,52+,Strongly Agree,Strongly Agree,Agree
10789,0,Agree,Disagree,Disagree
10790,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10791,3-5,Agree,Agree,Strongly Disagree
10792,0,Agree,Agree,Agree
10793,6-24,Agree,Agree,Disagree
10794,99,99,99,99
10795,99,99,99,99
10796,99,99,99,99
10797,99,99,99,99
10798,25-52,Agree,Agree,Disagree
10799,99,99,99,99
10800,0,Strongly Disagree,Agree,Agree
10801,52+,Strongly Agree,Strongly Agree,Strongly Agree
10802,99,99,99,99
10803,0,Agree,Agree,Strongly Disagree
10804,1-2,Strongly Disagree,Strongly Disagree,Strongly Disagree
10805,99,99,99,99
10806,99,99,99,99
10807,99,99,99,99
10808,0,Strongly Disagree,Agree,Strongly Disagree
10809,99,99,99,99
10810,99,99,99,99
10811,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10812,1-2,Disagree,Disagree,Disagree
10813,0,Agree,Agree,Agree
10814,0,Agree,Disagree,Agree
10815,0,Agree,Agree,Strongly Disagree
10816,6-24,Agree,Agree,Strongly Disagree
10817,0,Agree,Agree,Agree
10818,6-24,Strongly Agree,Strongly Agree,Agree
10819,99,99,99,99
10820,99,99,99,99
10821,25-52,Strongly Agree,Strongly Agree,Disagree
10822,1-2,Agree,Agree,Strongly Disagree
10823,25-52,Agree,Agree,Disagree
10824,99,99,99,99
10825,99,99,99,99
10826,99,99,99,99
10827,25-52,Agree,Strongly Agree,Disagree
10828,1-2,Agree,Agree,Disagree
10829,99,99,99,99
10830,99,99,99,99
10831,99,99,99,99
10832,52+,Strongly Agree,Strongly Agree,Strongly Agree
10833,0,Disagree,Disagree,Disagree
10834,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10835,99,99,99,99
10836,52+,Strongly Agree,Strongly Agree,Agree
10837,52+,Agree,Disagree,Disagree
10838,6-24,Strongly Agree,Strongly Agree,Disagree
10839,52+,Agree,Agree,Disagree
10840,1-2,Strongly Agree,Agree,Disagree
10841,6-24,Strongly Agree,Strongly Agree,Disagree
10842,0,Disagree,Disagree,Strongly Disagree
10843,0,Disagree,Disagree,Strongly Disagree
10844,0,Strongly Agree,Strongly Agree,Agree
10845,99,99,99,99
10846,99,99,99,99
10847,6-24,Strongly Disagree,Strongly Disagree,Disagree
10848,6-24,Strongly Agree,Strongly Agree,Disagree
10849,0,Disagree,Strongly Disagree,Strongly Disagree
10850,0,Agree,Agree,Agree
10851,25-52,Strongly Disagree,Strongly Disagree,Disagree
10852,52+,Strongly Agree,Strongly Agree,Strongly Agree
10853,99,99,99,99
10854,25-52,Agree,Agree,Disagree
10855,99,99,99,99
10856,99,99,99,99
10857,0,Agree,Agree,Agree
10858,99,99,99,99
10859,99,99,99,99
10860,99,99,99,99
10861,25-52,Strongly Agree,Strongly Agree,Agree
10862,25-52,Strongly Agree,Agree,Agree
10863,6-24,Agree,Agree,Disagree
10864,0,Strongly Agree,Strongly Agree,Strongly Disagree
10865,6-24,Agree,Agree,Disagree
10866,6-24,Strongly Disagree,Agree,Strongly Disagree
10867,99,99,99,99
10868,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10869,0,Disagree,Disagree,Disagree
10870,99,99,99,99
10871,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10872,25-52,Agree,Agree,Disagree
10873,99,99,99,99
10874,6-24,Agree,Agree,Disagree
10875,25-52,Disagree,Disagree,Strongly Disagree
10876,0,Agree,99,99
10877,1-2,Strongly Disagree,Strongly Disagree,Strongly Disagree
10878,25-52,Strongly Disagree,Strongly Agree,Strongly Disagree
10879,99,99,99,99
10880,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10881,0,Agree,Agree,Strongly Disagree
10882,0,Disagree,Agree,Strongly Disagree
10883,99,99,99,99
10884,25-52,Strongly Disagree,Strongly Disagree,Agree
10885,0,99,99,99
10886,99,99,99,99
10887,99,99,99,99
10888,99,99,99,99
10889,52+,Strongly Disagree,Strongly Agree,Strongly Agree
10890,3-5,Agree,Agree,Disagree
10891,25-52,Strongly Agree,Strongly Agree,Agree
10892,6-24,Disagree,Disagree,Disagree
10893,52+,Agree,Agree,Strongly Disagree
10894,99,99,99,99
10895,99,99,99,99
10896,3-5,Strongly Agree,Agree,Agree
10897,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10898,99,99,99,99
10899,1-2,Disagree,Disagree,Disagree
10900,0,Disagree,Disagree,Disagree
10901,0,Agree,Strongly Agree,Strongly Agree
10902,0,Disagree,Disagree,Disagree
10903,6-24,Agree,Disagree,Strongly Disagree
10904,1-2,Strongly Disagree,Agree,Disagree
10905,6-24,Strongly Agree,Strongly Agree,Agree
10906,25-52,Strongly Agree,Strongly Agree,Disagree
10907,1-2,Disagree,Agree,Strongly Disagree
10908,25-52,Strongly Agree,Agree,Disagree
10909,99,99,99,99
10910,0,Strongly Disagree,Disagree,Strongly Disagree
10911,52+,Strongly Agree,Agree,Agree
10912,3-5,Strongly Agree,Strongly Agree,Strongly Disagree
10913,99,99,99,99
10914,99,99,99,99
10915,1-2,Agree,Agree,Disagree
10916,99,99,99,99
10917,99,99,99,99
10918,99,99,99,99
10919,52+,Strongly Agree,Strongly Agree,Agree
10920,99,99,99,99
10921,3-5,Agree,Agree,Disagree
10922,0,Strongly Agree,Strongly Agree,Strongly Disagree
10923,99,99,99,99
10924,0,Agree,Agree,Strongly Disagree
10925,25-52,Strongly Agree,Agree,Disagree
10926,52+,Strongly Agree,Strongly Agree,Agree
10927,0,99,Agree,Disagree
10928,3-5,Agree,Strongly Agree,Disagree
10929,0,Strongly Agree,Strongly Agree,Agree
10930,99,99,99,99
10931,25-52,Agree,Agree,Disagree
10932,99,99,99,99
10933,99,99,99,99
10934,6-24,Agree,Disagree,Strongly Disagree
10935,25-52,Strongly Agree,Strongly Agree,Agree
10936,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10937,52+,Agree,Agree,Disagree
10938,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10939,99,99,99,99
10940,99,99,99,99
10941,52+,Strongly Agree,Strongly Agree,Agree
10942,25-52,Agree,Strongly Agree,Agree
10943,6-24,Agree,Agree,Disagree
10944,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10945,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10946,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
10947,99,99,99,99
10948,52+,Strongly Agree,Strongly Agree,Disagree
10949,99,99,99,99
10950,99,99,99,99
10951,25-52,Strongly Agree,Strongly Agree,Agree
10952,0,Agree,Agree,Disagree
10953,99,99,99,99
10954,99,99,99,99
10955,3-5,Strongly Agree,Strongly Agree,Strongly Disagree
10956,99,99,99,99
10957,1-2,Strongly Disagree,Agree,Agree
10958,99,99,99,99
10959,0,Agree,Agree,Disagree
10960,0,Agree,Agree,Agree
10961,1-2,Agree,Disagree,Strongly Disagree
10962,99,99,99,99
10963,0,Agree,Agree,Disagree
10964,1-2,Disagree,Disagree,Disagree
10965,6-24,Agree,Strongly Disagree,Strongly Disagree
10966,99,99,99,99
10967,99,99,99,99
10968,99,99,99,99
10969,3-5,Agree,Strongly Agree,Disagree
10970,3-5,Agree,Agree,Disagree
10971,99,99,99,99
10972,52+,Strongly Agree,Strongly Agree,Agree
10973,0,Agree,Agree,Disagree
10974,6-24,Agree,Agree,Strongly Agree
10975,0,Agree,Disagree,Strongly Disagree
10976,1-2,Agree,Agree,Disagree
10977,0,Strongly Agree,Strongly Agree,Strongly Disagree
10978,99,99,99,99
10979,6-24,Agree,Disagree,Strongly Disagree
10980,99,99,99,99
10981,6-24,Agree,Agree,Disagree
10982,52+,Strongly Agree,Strongly Agree,Agree
10983,0,Disagree,Strongly Disagree,Strongly Disagree
10984,0,Agree,Agree,Disagree
10985,99,99,99,99
10986,1-2,Disagree,Disagree,Strongly Disagree
10987,99,99,99,99
10988,0,Agree,Agree,Strongly Disagree
10989,1-2,Strongly Disagree,Strongly Disagree,Strongly Disagree
10990,99,99,99,99
10991,99,99,99,99
10992,99,99,99,99
10993,0,Disagree,Strongly Disagree,Strongly Disagree
10994,6-24,Strongly Agree,Strongly Agree,Agree
10995,0,Agree,Agree,Disagree
10996,1-2,Disagree,Disagree,Disagree
10997,99,99,99,99
10998,6-24,Strongly Agree,Strongly Agree,Disagree
10999,99,99,99,99
11000,1-2,Disagree,Disagree,Disagree
11001,0,Disagree,Agree,Disagree
11002,99,99,99,99
11003,0,Agree,Agree,Strongly Disagree
11004,0,Agree,Agree,Agree
11005,0,Strongly Disagree,Agree,Agree
11006,6-24,Strongly Agree,Strongly Agree,Disagree
11007,6-24,Agree,Agree,Agree
11008,25-52,Strongly Agree,Strongly Agree,Disagree
11009,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
11010,0,Agree,Agree,Strongly Disagree
11011,0,Disagree,Strongly Disagree,Strongly Disagree
11012,3-5,Agree,Disagree,Strongly Disagree
11013,6-24,Disagree,Disagree,Strongly Disagree
11014,25-52,Strongly Agree,Strongly Agree,Agree
11015,99,99,99,99
11016,99,99,99,99
11017,3-5,Agree,Agree,Disagree
11018,0,Disagree,Strongly Disagree,Strongly Disagree
11019,25-52,Strongly Disagree,Disagree,Strongly Disagree
11020,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
11021,99,99,99,99
11022,0,Disagree,Disagree,Strongly Disagree
11023,1-2,Agree,Agree,Strongly Disagree
11024,99,99,99,99
11025,0,Strongly Agree,Strongly Agree,Disagree
11026,1-2,Disagree,Disagree,Strongly Disagree
11027,0,Strongly Agree,Strongly Agree,Strongly Agree
11028,0,Agree,Agree,Strongly Disagree
11029,0,Agree,Agree,Disagree
11030,1-2,Agree,Agree,Strongly Disagree
11031,99,99,99,99
11032,25-52,Strongly Agree,Strongly Agree,Agree
11033,99,99,99,99
11034,99,99,99,99
11035,3-5,Agree,Agree,Agree
11036,99,99,99,99
11037,6-24,Agree,Agree,Strongly Disagree
11038,1-2,Disagree,Disagree,Disagree
11039,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
11040,99,99,99,99
11041,25-52,Agree,Agree,Strongly Disagree
11042,1-2,Disagree,Disagree,Disagree
11043,6-24,Agree,Agree,Agree
11044,0,Agree,Agree,Disagree
11045,0,Strongly Agree,Strongly Agree,Agree
11046,25-52,Strongly Agree,Strongly Agree,Agree
11047,25-52,Strongly Agree,Strongly Agree,Agree
11048,99,99,99,99
11049,3-5,Agree,Agree,Agree
11050,1-2,Agree,Agree,Disagree
11051,3-5,Agree,Disagree,Disagree
11052,99,99,99,99
11053,3-5,Strongly Agree,Agree,Strongly Disagree
11054,52+,Strongly Agree,Strongly Agree,Disagree
11055,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
11056,99,99,99,99
11057,99,99,99,99
11058,99,99,99,99
11059,3-5,Strongly Agree,Agree,Disagree
11060,1-2,Strongly Agree,Agree,Disagree
11061,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
11062,99,99,99,99
11063,99,99,99,99
11064,52+,Strongly Agree,Agree,Agree
11065,99,99,99,99
11066,99,99,99,99
11067,99,99,99,99
11068,0,Strongly Agree,Disagree,Strongly Disagree
11069,0,Disagree,Strongly Disagree,Disagree
11070,6-24,Agree,Agree,Disagree
11071,99,99,99,99
11072,99,99,99,99
11073,52+,Strongly Agree,Agree,Agree
11074,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
11075,52+,Strongly Agree,Strongly Agree,Agree
11076,99,99,99,99
11077,0,Disagree,Disagree,Strongly Disagree
11078,99,99,99,99
11079,0,Agree,Agree,Agree
11080,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
11081,25-52,Strongly Agree,Strongly Agree,Strongly Agree
11082,6-24,Strongly Disagree,Strongly Disagree,Disagree
11083,25-52,Strongly Disagree,Strongly Agree,Disagree
11084,0,Agree,Agree,Agree
11085,99,99,99,99
11086,0,Agree,Agree,Disagree
11087,25-52,Strongly Agree,Strongly Agree,Agree
11088,3-5,Agree,Strongly Disagree,Strongly Disagree
11089,1-2,Strongly Agree,Strongly Agree,Disagree
11090,99,99,99,99
11091,99,99,99,99
11092,25-52,Strongly Agree,Strongly Agree,Strongly Agree
11093,0,Agree,Agree,Strongly Disagree
11094,99,99,99,99
11095,52+,Agree,Agree,Agree
11096,1-2,Strongly Agree,Strongly Agree,Strongly Disagree
11097,99,99,99,99
11098,0,Disagree,Disagree,Disagree
11099,0,Agree,Disagree,Strongly Disagree
11100,0,Agree,Strongly Agree,Strongly Disagree
11101,52+,Strongly Agree,Strongly Agree,Strongly Agree
11102,99,99,99,99
11103,1-2,Agree,Agree,Disagree
11104,99,99,99,99
11105,25-52,Strongly Agree,Strongly Agree,Agree
11106,0,Agree,Disagree,Strongly Disagree
11107,0,Disagree,Disagree,Disagree
11108,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
11109,99,99,99,99
11110,6-24,Agree,Agree,Agree
11111,99,99,99,99
11112,0,Agree,Agree,Disagree
11113,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
11114,0,Strongly Disagree,Strongly Disagree,Disagree
11115,0,Disagree,Disagree,Disagree
11116,99,99,99,99
11117,99,99,99,99
11118,0,Strongly Agree,Strongly Agree,Strongly Agree
11119,99,99,99,99
11120,52+,Strongly Agree,Agree,Disagree
11121,0,Agree,Agree,Disagree
11122,99,99,99,99
11123,99,99,99,99
11124,99,99,99,99
11125,99,99,99,99
11126,0,Disagree,Disagree,Disagree
11127,0,Strongly Agree,Strongly Agree,Agree
11128,99,99,99,99
11129,0,Strongly Agree,Strongly Agree,Agree
11130,1-2,Agree,Disagree,Disagree
11131,1-2,Agree,Agree,Strongly Disagree
11132,99,99,99,99
11133,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
11134,6-24,Disagree,Agree,Disagree
11135,99,99,99,99
11136,99,99,99,99
11137,0,Agree,Agree,Disagree
11138,3-5,Agree,Agree,Agree
11139,6-24,Strongly Disagree,Strongly Disagree,Strongly Disagree
11140,25-52,Agree,Disagree,Strongly Disagree
11141,0,Disagree,Disagree,Disagree
11142,0,Agree,Disagree,Disagree
11143,99,99,99,99
11144,52+,Strongly Agree,Strongly Agree,Strongly Agree
11145,1-2,Strongly Agree,Strongly Agree,Disagree
11146,0,Disagree,Disagree,Strongly Disagree
11147,0,Agree,Agree,Agree
11148,99,99,99,99
11149,99,99,99,99
11150,25-52,Strongly Agree,Strongly Agree,Disagree
11151,99,99,99,99
11152,6-24,Agree,Agree,Disagree
11153,1-2,Disagree,Disagree,Strongly Disagree
11154,1-2,Agree,Agree,Disagree
11155,99,99,99,99
11156,1-2,Agree,Disagree,Disagree
11157,99,99,99,99
11158,52+,Strongly Agree,Agree,Disagree
11159,6-24,Agree,Agree,Disagree
11160,99,99,99,99
11161,0,Agree,Disagree,Agree
11162,99,99,99,99
11163,99,99,99,99
11164,3-5,Agree,Agree,Strongly Disagree
11165,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
11166,0,Disagree,Disagree,Disagree
11167,0,Agree,Agree,Strongly Disagree
11168,0,Disagree,Disagree,Disagree
11169,0,Agree,Agree,Disagree
11170,6-24,Agree,Agree,Strongly Disagree
11171,25-52,Strongly Agree,Strongly Agree,Strongly Agree
11172,99,99,99,99
11173,99,99,99,99
11174,6-24,Strongly Agree,Strongly Agree,Agree
11175,25-52,Strongly Agree,Strongly Agree,Strongly Agree
11176,99,99,99,99
11177,99,99,99,99
11178,1-2,Strongly Agree,Strongly Agree,Strongly Agree
11179,0,Agree,Agree,Disagree
11180,99,99,99,99
11181,52+,Strongly Agree,Strongly Agree,Strongly Agree
11182,0,99,99,99
11183,0,99,99,99
11184,0,Strongly Agree,Strongly Agree,Strongly Disagree
11185,0,Disagree,Disagree,Disagree
11186,99,99,99,99
11187,52+,Strongly Agree,Strongly Agree,Disagree
11188,99,99,99,99
11189,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
11190,0,Agree,Agree,Strongly Disagree
11191,0,Disagree,Disagree,Strongly Disagree
11192,6-24,Agree,Agree,Strongly Disagree
11193,99,99,99,99
11194,0,Strongly Agree,Strongly Agree,Strongly Agree
11195,99,99,99,99
11196,99,99,99,99
11197,0,Agree,Disagree,Strongly Disagree
11198,99,99,99,99
11199,0,Disagree,Disagree,Disagree
11200,0,Strongly Disagree,Agree,Agree
11201,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
11202,99,99,99,99
11203,99,99,99,99
11204,1-2,Agree,Strongly Agree,Strongly Agree
11205,1-2,Agree,Disagree,Agree
11206,0,Agree,Agree,Disagree
11207,0,Disagree,Disagree,Strongly Disagree
11208,6-24,Agree,Agree,Disagree
11209,0,Disagree,Disagree,Strongly Disagree
11210,99,99,99,99
11211,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
11212,99,99,99,99
11213,52+,Strongly Agree,Agree,Agree
11214,3-5,Agree,Agree,Disagree
11215,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
11216,6-24,Agree,Agree,Disagree
11217,0,Agree,Agree,Agree
11218,3-5,Agree,Agree,Disagree
11219,3-5,Agree,Agree,Disagree
11220,0,Agree,Disagree,Strongly Disagree
11221,99,99,99,99
11222,1-2,Agree,Agree,Strongly Disagree
11223,1-2,Agree,Disagree,Disagree
11224,0,Disagree,Agree,Disagree
11225,99,99,99,99
11226,6-24,Disagree,Disagree,Disagree
11227,99,99,99,99
11228,6-24,Agree,Agree,Agree
11229,3-5,Disagree,Disagree,Strongly Disagree
11230,99,99,99,99
11231,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
11232,3-5,Agree,Agree,Agree
11233,0,Strongly Agree,Strongly Agree,Strongly Agree
11234,99,99,99,99
11235,99,99,99,99
11236,6-24,Agree,Agree,Disagree
11237,6-24,Strongly Disagree,Strongly Disagree,Agree
11238,0,Agree,Agree,Strongly Disagree
11239,0,Strongly Disagree,Strongly Disagree,Disagree
11240,99,99,99,99
11241,99,99,99,99
11242,3-5,Agree,Agree,Disagree
11243,99,99,99,99
11244,99,99,99,99
11245,25-52,Strongly Agree,Strongly Agree,Strongly Agree
11246,52+,Strongly Agree,Strongly Agree,Agree
11247,0,Agree,Disagree,Disagree
11248,25-52,Strongly Agree,Strongly Agree,Agree
11249,99,99,99,99
11250,25-52,Agree,Disagree,Strongly Disagree
11251,52+,Strongly Agree,Strongly Agree,Strongly Agree
11252,99,99,99,99
11253,99,99,99,99
11254,0,Strongly Agree,Agree,Agree
11255,0,Disagree,Disagree,Strongly Disagree
11256,3-5,Agree,Disagree,Disagree
11257,0,Agree,Disagree,Strongly Disagree
11258,3-5,Strongly Agree,Agree,Agree
11259,99,99,99,99
11260,0,Agree,Agree,Disagree
11261,52+,Strongly Agree,Strongly Agree,Agree
11262,1-2,Disagree,Agree,Strongly Disagree
11263,3-5,Strongly Agree,Agree,Disagree
11264,6-24,Strongly Agree,Agree,Agree
11265,0,Agree,Agree,Strongly Disagree
11266,1-2,Agree,Disagree,Strongly Disagree
11267,25-52,Strongly Agree,Strongly Agree,Strongly Agree
11268,25-52,Strongly Agree,Strongly Agree,Strongly Agree
11269,3-5,Agree,Agree,Disagree
11270,0,Agree,Agree,Disagree
11271,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
11272,99,99,99,99
11273,6-24,Agree,Agree,Disagree
11274,99,99,99,99
11275,52+,Strongly Agree,Strongly Agree,Agree
11276,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
11277,99,99,99,99
11278,99,99,99,99
11279,25-52,Strongly Agree,Agree,Strongly Agree
11280,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
11281,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
11282,6-24,Disagree,Agree,Strongly Disagree
11283,99,99,99,99
11284,99,99,99,99
